"PreTaxCost","BillingMonth","ResourceId","MeterCategory","MeterSubcategory","Meter","Currency"
"0.119582047373","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/ai_contosohotels-acc-appinsights_7e77b151-e893-4183-80a7-7e26dbef8a26_managed/providers/microsoft.operationalinsights/workspaces/managed-contosohotels-acc-appinsights-ws","Log Analytics","All","Pay-as-you-go Data Ingestion","USD"
"0","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Bandwidth","Inter-Region","Intra Continent Data Transfer In","USD"
"7.7254E-06","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Bandwidth","Inter-Region","Intra Continent Data Transfer Out","USD"
"0","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Microsoft Defender for Cloud","Storage","Free Transactions","USD"
"0.0001171742","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Storage","Bandwidth","Geo-Replication Data transfer","USD"
"2.2469568E-06","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Storage","Files","List Operations","USD"
"2.94E-07","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Storage","Files","Read Operations","USD"
"7.766036E-07","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Storage","Queues v2","Class 2 Operations","USD"
"6.08E-07","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Storage","Queues v2","GRS Class 1 Operations","USD"
"8.763552E-05","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Storage","Tables","GRS Batch Write Operations","USD"
"0.00022803375","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Storage","Tables","RA-GRS Data Stored","USD"
"1.4112E-07","2025-05-01 00:00:00","/subscriptions/ebb79bc0-aa86-44a7-8111-cabbe0c43993/resourcegroups/aj1-contososh360clusterrg/providers/microsoft.storage/storageaccounts/afhuiklklgf45","Storage","Tables","Read Operations","USD"
